French,English,Source
"Plus tard, vous vous voyez travaillant où ?","Later, where do you see yourself working?",https://savoirs.rfi.fr/fr/questionnaire/224/resultats
sans cesse,constantly,https://savoirs.rfi.fr/fr/questionnaire/224/resultats
pour tenir compte de,to keep pace with,https://savoirs.rfi.fr/fr/questionnaire/224/resultats
qui a fait date,that has made history,https://savoirs.rfi.fr/fr/questionnaire/756/resultats
à remonter,to cheer up,https://savoirs.rfi.fr/fr/questionnaire/756/resultats
étalé,spread out,https://savoirs.rfi.fr/fr/questionnaire/756/resultats
mettre sur pied,establish,https://savoirs.rfi.fr/fr/questionnaire/756/resultats
l’intelligentsia ,the intelligensia,https://savoirs.rfi.fr/fr/questionnaire/756/resultats
renommée,fame,https://savoirs.rfi.fr/fr/questionnaire/756/resultats
enlevé,removed/abducted,https://savoirs.rfi.fr/fr/questionnaire/756/resultats
d’où,from where/hence,https://savoirs.rfi.fr/fr/questionnaire/756/resultats
décoré,decorated,https://savoirs.rfi.fr/fr/questionnaire/756/resultats
au défilé,at the parade,https://savoirs.rfi.fr/fr/questionnaire/756/resultats
ont déchaîné les foules,have unleashed the crowds,https://savoirs.rfi.fr/fr/questionnaire/756/resultats
osées,daring,https://savoirs.rfi.fr/fr/questionnaire/756/resultats
décoiffantes ,hair raising,https://savoirs.rfi.fr/fr/questionnaire/756/resultats
rudoyaient,were bullying,https://savoirs.rfi.fr/fr/questionnaire/756/resultats
sonorités,sounds,https://savoirs.rfi.fr/fr/questionnaire/756/resultats
éclore et vivre,blossoming and living,https://savoirs.rfi.fr/fr/questionnaire/756/resultats
